Time;Acceleration;Position
2025/04/27_15:33:04;{'x': 0.6416460449218749, 'y': 2.2194249389648437, 'z': 9.402029919433593};(8.7432296, 48.0751462, 724194)
2025/04/27_15:34:31;{'x': 0.612915625, 'y': 2.281674182128906, 'z': 9.452308154296874};(8.7430893, 48.0751476, 720827)
2025/04/27_15:34:32;{'x': 0.6057330200195312, 'y': 2.2768857788085937, 'z': 9.5001921875};(8.7430893, 48.0751476, 720827)
2025/04/27_15:34:33;{'x': 0.6057330200195312, 'y': 2.3056161987304686, 'z': 9.536105212402344};(8.743085299999999, 48.0751482, 720605)
2025/04/27_15:34:34;{'x': 0.603338818359375, 'y': 2.272097375488281, 'z': 9.382876306152344};(8.743085899999999, 48.0751479, 720707)
2025/04/27_15:34:35;{'x': 0.5027823486328125, 'y': 2.1787235107421874, 'z': 9.5001921875};(8.743085899999999, 48.0751479, 720707)
2025/04/27_15:34:36;{'x': 0.7398083129882812, 'y': 2.291250988769531, 'z': 9.502586389160156};(8.7430868, 48.0751431, 720668)
2025/04/27_15:34:37;{'x': 0.6009446166992187, 'y': 2.288856787109375, 'z': 9.488221179199218};(8.7430868, 48.0751431, 720668)
2025/04/27_15:34:38;{'x': 0.5913678100585937, 'y': 2.288856787109375, 'z': 9.356540087890625};(8.743108699999999, 48.075135599999996, 720999)
2025/04/27_15:34:39;{'x': 0.5913678100585937, 'y': 2.243366955566406, 'z': 9.459490759277344};(8.743108699999999, 48.075135599999996, 720999)
2025/04/27_15:34:40;{'x': 0.6009446166992187, 'y': 2.2457611572265623, 'z': 9.402029919433593};(8.7431327, 48.075134999999996, 720416)
2025/04/27_15:34:41;{'x': 0.6488286499023437, 'y': 2.3415292236328122, 'z': 9.648632690429688};(8.7431327, 48.075134999999996, 720416)
2025/04/27_15:34:42;{'x': 0.59376201171875, 'y': 2.2744915771484373, 'z': 9.485826977539062};(8.7431327, 48.075134999999996, 720416)
