Time;GeigerCounts;Ozone;Pressure;Temperature;CO2;InsideTemp;Humidity;Relative Humidity;BME-Pressure;BME-Altitude
2025/04/27_22:20:47;22;20.0;945.446642410664;23.688435094356535;1545;25.481640625;37.72856975689939;37.72856975689939;945.7474314815996;577.802087153929
2025/04/27_22:20:48;22;20.0;945.4448724842214;23.6809659910202;1545;25.481640625;37.66124590497029;37.61075214626543;945.7367826368135;577.8958364400603
2025/04/27_22:20:49;22;20.0;945.4671481285026;23.685694139003754;1545;25.496875;37.5209187698883;37.5209187698883;945.7324016012432;577.8450438381943
2025/04/27_22:20:50;22;20.0;945.4235569686166;23.680623371601104;1545;25.496875;37.70607007456601;37.70607007456601;945.7222511226496;578.0237689802913
2025/04/27_22:20:51;23;20.0;945.4201769997145;23.68754428386688;1545;25.496875;37.65557525827625;37.65557525827625;945.7104089008452;578.1280267063028
2025/04/27_22:20:52;23;20.0;945.4253535302431;23.68953147649765;1547;25.5171875;37.565720281299924;37.56574143990909;945.7156783068963;578.081635256522
2025/04/27_22:20:53;24;20.0;945.4539068900121;23.69480781555176;1547;25.5171875;37.73965619800664;37.73965619800664;945.7304051050955;578.1605045537763
2025/04/27_22:20:54;25;20.0;945.4343710071698;23.689120333194733;1547;25.522265625;37.84622173365084;37.84622173365084;945.7209470641881;578.0352497276256
2025/04/27_22:20:55;25;20.0;945.4599853724824;23.698096961975097;1547;25.5375;37.61052511980658;37.61052511980658;945.7639358576806;577.8355226939868
2025/04/27_22:20:56;26;20.0;945.4528745441899;23.693231766223906;1547;25.542578125;37.71711600786692;37.71711600786692;945.7312907808548;577.9441854528783
2025/04/27_22:20:57;26;20.0;945.4424871149811;23.69412257671356;1556;25.54765625;37.72270761675509;37.72270761675509;945.7274071036151;577.9783765743625
2025/04/27_22:20:58;26;20.0;945.4512709456752;23.70131758451462;1556;25.54765625;37.71709650892371;37.582427159019176;945.7172558068919;578.0677471073449
2025/04/27_22:20:59;26;20.0;945.4532240598925;23.698508105278016;1556;25.552734375;37.694632221634315;37.694632221634315;945.7404422320046;577.8636183478538
2025/04/27_22:21:00;27;20.0;945.4407950001446;23.69748024702072;1556;25.562890625;37.711426643286;37.711426643286;945.7563612787551;577.7935453224699
2025/04/27_22:21:01;27;20.0;945.4023492723101;23.692752099037172;1556;25.562890625;37.89100149241795;37.89100149241795;945.712871621206;578.1063450776535
2025/04/27_22:21:02;27;20.0;945.4515662578555;23.710431261062624;1557;25.56796875;37.6833500426641;37.761909055725006;945.7067949555457;578.15984372663
2025/04/27_22:21:03;29;20.0;945.4223718463536;23.704401159286498;1557;25.578125;37.64964070359873;37.64964070359873;945.7210212634661;578.1046678845016
2025/04/27_22:21:04;29;20.0;945.4513246837109;23.70419558763504;1557;25.578125;37.688921714412686;37.688921714412686;945.7650123688777;577.6473120823011
2025/04/27_22:21:05;29;20.0;945.4374872536777;23.701591680049898;1557;25.5880859375;37.53175244349747;37.53175244349747;945.7366335027397;577.8971493784908
2025/04/27_22:21:06;28;20.0;945.4357982452644;23.711870262622835;1558;25.5931640625;37.374591498127266;37.374591498127266;945.7547447651576;577.7377036593025
2025/04/27_22:21:07;28;20.0;945.462713922516;23.709951593875886;1558;25.5931640625;37.39704040487909;37.397017173330724;945.7491679412544;577.7867999567561
2025/04/27_22:21:08;27;20.0;945.4581319288545;23.712966644763945;1558;25.5982421875;37.531709049146436;37.531709049146436;945.7407078423794;577.8612799894553
2025/04/27_22:21:09;26;20.0;945.4750546294558;23.719681985378266;1558;25.6083984375;38.092837412108715;38.092837412108715;945.746473958954;577.8105168656834
2025/04/27_22:21:10;27;20.0;945.4321609063592;23.705017874240877;1558;25.6083984375;37.56533851917441;37.56533851917441;945.746473958954;577.8105168656834
2025/04/27_22:21:11;27;20.0;945.4220066004159;23.711733214855194;1558;25.6134765625;37.576541524303416;37.576541524303416;945.7578172420946;577.7106548075384
